game_id,player_id,player_name,posteam,air_yards,yards_after_catch,cpoe,qb_epa,pass_attempts,complete_passes,avg_air_yards_x,avg_yac_x,pass_location_left,pass_location_middle,pass_location_right,pass_length_short,pass_length_medium,pass_length_deep,rush_attempts,first_downs_rush,xyac_mean,xyac_median,xyac_success_rate,rush_epa,run_location_left,run_location_middle,run_location_right,run_gap_guard,run_gap_tackle,run_gap_end,receiving_attempts,first_downs_receiving,receiving_epa,avg_yac_y,avg_air_yards_y,solo_tackles,assisted_tackles,tackles_for_loss,qb_hits,sacks,interceptions,forced_fumbles,fumble_recoveries,pass_defenses,position,team
2024_13_SF_BUF,00-0039363,I.Guerendo,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0754507,4.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,-0.8692365,2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_14_CHI_SF,00-0035719,D.Samuel,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,-0.9218336,2.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,-0.57113814,2.0,3.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_14_CHI_SF,00-0035973,P.Taylor,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.869411,2.0,1.0,4.0,1.0,4.0,1.0,1.0,0.0,-1.252887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_14_CHI_SF,00-0036450,K.Vaughn,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.63253444,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_14_CHI_SF,00-0039363,I.Guerendo,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,1.9505161,5.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,4.9476438,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_15_LA_SF,00-0035719,D.Samuel,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.365286,0.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,-3.6206276,5.0,8.142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_15_LA_SF,00-0039363,I.Guerendo,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,-2.7465308,7.0,4.0,5.0,4.0,6.0,2.0,4.0,1.0,-0.17864746,5.25,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_16_SF_MIA,00-0029892,K.Juszczyk,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.46787792,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,-0.064133644,21.0,1.3333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_16_SF_MIA,00-0035719,D.Samuel,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,-0.508863,1.0,2.0,2.0,1.0,1.0,1.0,9.0,5.0,9.981165,13.285714,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_16_SF_MIA,00-0035973,P.Taylor,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,-2.4529104,2.0,2.0,4.0,3.0,2.0,1.0,5.0,0.0,-5.7453537,3.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_17_DET_SF,00-0035719,D.Samuel,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.51918215,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.4846148,9.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_17_DET_SF,00-0039363,I.Guerendo,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,-1.1639796,2.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,2.5526319,10.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_18_SF_ARI,00-0035973,P.Taylor,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,2.5992072,6.0,7.0,4.0,0.0,8.0,2.0,4.0,1.0,-4.022974,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,SF
2024_18_SF_ARI,00-0039363,I.Guerendo,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.49391884,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_18_SF_ARI,00-0039365,J.Cowing,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38061914,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.851562,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
